"","points_5","points_4","points_3","points_2","points_1"
"9015","Gibson's Albatross","Banded Dotterel","Yellow-eyed penguin",NA,NA
"9016","Antipodean Albatross","South Island Kōkako","Kākā","Weka","Kōkako"
"9017","Yellow-eyed penguin","Antipodean Albatross","Little Penguin","Harrier","South Island Kōkako"
"9018","Kākā","Kākāpō","Saddleback","Hutton's Shearwater","Little Penguin"
"9019","Orange-fronted Parakeet","Blue Duck","South Island Kōkako","Kererū","Kākā"
"9020","Kākāpō","White Heron","Yellow-eyed penguin","Bellbird","Rockhopper Penguin"
"9021","Kea","Antipodean Albatross","Kākāpō","Little Penguin","Takahē"
"9022","Blue Duck","Welcome Swallow","Kingfisher","Barn Owl","Silvereye"
"9023","Black Robin","New Zealand Robin","Fiordland Crested Penguin","Rockhopper Penguin","Antipodean Albatross"
"9024","Yellow-eyed penguin","New Zealand Falcon","Morepork","Fantail","Chatham Island Mollymawk"
"9025","Black Robin","Kākāpō","Blue Duck","Rifleman","Banded Dotterel"
"9026","Banded Dotterel","Bellbird","Black Robin","Blue Duck","Kingfisher"
"9027","Yellow-eyed penguin","Kākā","Rockhopper Penguin","Black Robin","Fiordland Crested Penguin"
"9028","Yellow-eyed penguin","Kōkako","Gibson's Albatross","Fiordland Crested Penguin","Saddleback"
"9029","Antipodean Albatross","Black Robin","Buller's Mollymawk","Fiordland Crested Penguin","Kākāpō"
"9030","Kererū","Kea","Shore Plover","Saddleback","Grey Warbler"
"9031","South Island Pied Oystercatcher","Barn Owl","Orange-fronted Parakeet","Kererū","Shining Cuckoo"
"9032","Black Robin","Fiordland Crested Penguin","Kākāpō","Mōhua","Rockhopper Penguin"
"9033","Yellow-eyed penguin","Hutton's Shearwater","Fairy Tern","Blue Duck",NA
"9034","Takahē","Little Penguin","New Zealand Falcon","Tūī","Kea"
"9035","Kākāpō","Yellow-eyed penguin","Kākā","Orange-fronted Parakeet","Southern Brown Kiwi"
"9036","Bellbird","White Heron","Black Robin","Little Penguin","Morepork"
"9037","Yellow-eyed penguin","Southern Brown Kiwi","Mōhua","Royal Spoonbill","South Island Kōkako"
