"","points_5","points_4","points_3","points_2","points_1"
"331","Yellow-eyed penguin","Rockhopper Penguin","Black Robin","Orange-fronted Parakeet","New Zealand Falcon"
"332","Antipodean Albatross","Southern Brown Kiwi","New Zealand Falcon","Tūī","Black Robin"
"333","Royal Spoonbill","Yellow-eyed penguin","Hutton's Shearwater","New Zealand Falcon","Grey Warbler"
"334","Yellow-eyed penguin","Chatham Island Mollymawk","Bittern","Black Robin","Fairy Tern"
"335","Southern Brown Kiwi","South Island Kōkako","Shore Plover","Mōhua","Little Spotted Kiwi"
"336","Kea","Kererū","Blue Duck","Rock Wren","Fantail"
"337","Black-billed Gull","Kea","Tūī","Mōhua","Bittern"
"338","Australasian Gannet","Fantail","Rockhopper Penguin","Tūī","Morepork"
"339","White-faced Heron","Harrier","Antipodean Albatross","Northern Royal Albatross","Weka"
"340","Saddleback","Mōhua","Salvin's Mollymawk","Kea","Kākā"
"341","Kingfisher","Kea","North Island Brown Kiwi","Tūī","Bittern"
"342","Kākāpō","Kākā","Little Spotted Kiwi","Rockhopper Penguin","Barn Owl"
"343","Stitchbird",NA,NA,NA,NA
"344","Yellow-eyed penguin","Little Penguin","Rockhopper Penguin","Buller's Mollymawk","Southern Royal Albatross"
"345","Yellow-eyed penguin","Kākāpō","Rockhopper Penguin","Southern Brown Kiwi","Takahē"
"346","Black Petrel","Royal Spoonbill","Campbell Black-Browed Albatross","Southern Royal Albatross","Kererū"
"347","Yellow-eyed penguin",NA,NA,NA,NA
"348","Antipodean Albatross","Banded Dotterel","Kākāpō","Morepork","Black Robin"
"349","Blue Duck","Brown Teal","Fairy Tern","Fiordland Crested Penguin","Grey Duck"
"350","Blue Duck","New Zealand Falcon","Gibson's Albatross","Great Spotted Kiwi","Black Robin"
"351","Wrybill",NA,NA,NA,NA
"352","Tūī","White-faced Heron","Kākā","Kererū","Fantail"
"353","Fantail","Bellbird","Blue Duck","Chatham Island Oystercatcher","Kea"
"354","Morepork","White-faced Heron","Little Penguin","Whenua Hou Diving Petrel","Grey Warbler"
"355","Fantail","Rifleman","Harrier","Kea","Shining Cuckoo"
"356","Takahē","Black Robin","Kākā","Bittern","Kererū"
"357","Banded Dotterel","Antipodean Albatross","Mōhua","New Zealand Dotterel","Southern Brown Kiwi"
"358","Fantail","Gibson's Albatross","Kingfisher","Little Penguin","Bellbird"
"359","Yellow-eyed penguin","Little Spotted Kiwi","New Zealand Dotterel","Rockhopper Penguin","Morepork"
"360","Wrybill",NA,NA,NA,NA
"361","Yellow-eyed penguin","Banded Dotterel",NA,NA,NA
"362","Blue Duck","Fairy Tern","Kākā","Mōhua","Hutton's Shearwater"
"363","Banded Dotterel","Southern Royal Albatross","Fantail","White Heron","Morepork"
"364","Rifleman","Stitchbird","Fantail","Fiordland Crested Penguin","New Zealand Falcon"
"365","Banded Dotterel","Black Robin","Blue Duck","Northern Royal Albatross","Yellow-eyed penguin"
"366","Black Robin","Kākā","Barn Owl","Australasian Crested Grebe","Antipodean Albatross"
"367","Kākāpō","Bittern","Yellow-eyed penguin","Bellbird","Blue Duck"
"368","Yellow-eyed penguin","Rockhopper Penguin","Stitchbird","Fairy Tern","Black-billed Gull"
"369","Kākāpō",NA,NA,NA,NA
"370","Australasian Crested Grebe","Banded Dotterel","Black Robin","Fiordland Crested Penguin","Little Spotted Kiwi"
"371","Yellow-eyed penguin","Rockhopper Penguin","Kākā","South Island Kōkako","Kākāpō"
"372","Fantail","New Zealand King Shag","Tūī","Morepork","Saddleback"
"373","Yellow-eyed penguin","Blue Duck","Fantail","Takahē","Bar-tailed Godwit"
"374","Yellow-eyed penguin","Little Spotted Kiwi","The Otago Shag","Southern Brown Kiwi","Fairy Tern"
"375","Rockhopper Penguin","Tūī","Mōhua","Little Penguin","Kingfisher"
"376","Yellow-eyed penguin","Kākāpō","Mōhua","Southern Brown Kiwi","Little Spotted Kiwi"
"377","Kākāpō","Antipodean Albatross","Morepork","Fairy Tern","Shore Plover"
"378","Bellbird","Chatham Island Oystercatcher","Kererū","Tūī","Southern Brown Kiwi"
"379","Yellow-eyed penguin","Antipodean Albatross","Gibson's Albatross","Black Robin","Mōhua"
"380","Banded Dotterel","Kōkako","Barn Owl","Takahē","New Zealand Dotterel"
"381","Rock Wren","Yellow-eyed penguin","Wrybill","White Heron","Morepork"
"382","Banded Dotterel","Mōhua","Orange-fronted Parakeet","Antipodean Albatross","Rockhopper Penguin"
"383","Black Robin","Yellow-eyed penguin","Southern Brown Kiwi","Blue Duck","New Zealand Falcon"
"384","New Zealand Robin","Morepork","Stitchbird","Little Penguin","Royal Spoonbill"
"385","Tūī","Yellow-eyed penguin","Kākā","Kākāpō","Little Spotted Kiwi"
"386","Banded Dotterel","Bellbird","Tomtit","Fantail","Pūkeko"
"387","Kākāpō","Fairy Tern","Blue Duck","Wrybill","Rockhopper Penguin"
"388","Blue Duck","Bittern","Black shag","Fantail","Shining Cuckoo"
"389","Little Penguin","Little Spotted Kiwi","North Island Brown Kiwi","Tūī","Kōkako"
"390","Stitchbird","Morepork","New Zealand Robin","Saddleback","Tomtit"
"391","Fantail","Fernbird","Southern Brown Kiwi","New Zealand King Shag","Tūī"
"392","Kākāpō","Kōkako","Rockhopper Penguin","Stitchbird","Bar-tailed Godwit"
"393","Yellow-eyed penguin","South Island Kōkako","Light-mantled Sooty Albatross","Saddleback","Welcome Swallow"
"394","Yellow-eyed penguin","Banded Dotterel","Black-fronted Tern","Blue Duck","Fiordland Crested Penguin"
"395","Kākāpō","Bellbird","Barn Owl","Antipodean Albatross","Arctic Skua"
"396","Little Penguin","Morepork","New Zealand Falcon","New Zealand Robin","Rifleman"
"397","Royal Spoonbill","Barn Owl","Kingfisher","Saddleback","Kōkako"
"398","Grey Duck","Fantail","Bellbird","Chatham Island Oystercatcher","Southern Brown Kiwi"
"399","Yellow-eyed penguin","Kākāpō","Kākā","Mōhua","Fairy Tern"
"400","New Zealand Falcon","Tūī","Yellow-eyed penguin","Black Robin","New Zealand Robin"
"401","Kākāpō","Morepork","Black Robin","Takahē","Weka"
"402","Royal Spoonbill","Kea","Kākā","Morepork","Fiordland Crested Penguin"
"403","Morepork","Rockhopper Penguin","Takahē","Orange-fronted Parakeet","Saddleback"
"404","Yellow-eyed penguin","Pūkeko","Tūī","Morepork","Little shag"
"405","Shining Cuckoo","Takahē","Fantail","Bittern","Kea"
"406","Kererū","Kākā","Southern Brown Kiwi","Blue Duck","Morepork"
"407","Yellow-eyed penguin","New Zealand Dotterel","Black Robin","Southern Royal Albatross","Northern Royal Albatross"
"408","Yellow-eyed penguin","Takahē","Kingfisher","Bellbird","Black-billed Gull"
"409","Saddleback","Kea","Kākā","Kākāpō","Kōkako"
"410","Tūī","Southern Royal Albatross","Kea","Kākā","Antipodean Albatross"
"411","Kea","Yellow-eyed penguin","Kākā","Weka","Kākāpō"
"412","Antipodean Albatross","Bittern","Black Petrel","Rifleman","Buller's Mollymawk"
"413","Banded Dotterel","Fiordland Crested Penguin","Kea","Kākā","New Zealand Falcon"
"414","Banded Dotterel","Yellow-eyed penguin","Rock Wren","New Zealand Falcon","Kōkako"
"415","Rock Wren","Black Robin","Silvereye","Kākā","Blue Duck"
"416","Little Penguin","New Zealand Falcon","Little Spotted Kiwi","Kingfisher","Rifleman"
"417","Yellow-eyed penguin","Whenua Hou Diving Petrel","The Otago Shag","Southern Brown Kiwi","South Island Kōkako"
"418","Wrybill",NA,NA,NA,NA
"419","Banded Dotterel","Antipodean Albatross","Stitchbird","Bittern","Black Robin"
"420","Tomtit","Blue Duck","Mōhua","Bellbird","Kererū"
"421","Kererū","Great Spotted Kiwi","Kea","Fantail","Bellbird"
"422","Kākāpō","South Island Kōkako","Tūī","Little Spotted Kiwi","New Zealand Dotterel"
"423","Black Robin","Fiordland Crested Penguin","Kākāpō","Morepork","Tūī"
"424","Yellow-eyed penguin","Kākā","Brown Teal","Blue Duck","Black Robin"
"425","Yellow-eyed penguin","Black Stilt","Fiordland Crested Penguin","Buller's Mollymawk","Kākāpō"
"426","Antipodean Albatross","Southern Brown Kiwi","Tūī","Royal Spoonbill","Rockhopper Penguin"
"427","Kākāpō","Antipodean Albatross","Yellow-eyed penguin","Chatham Island Oystercatcher","New Zealand Falcon"
"428","South Island Kōkako","Little Spotted Kiwi","Southern Brown Kiwi","Yellow-eyed penguin","Tūī"
"429","Orange-fronted Parakeet","Mōhua","South Island Kōkako","Banded Dotterel",NA
"430","Mōhua","Kākāpō","Little Spotted Kiwi","Blue Duck","Yellow-eyed penguin"
"431","Morepork","Buller's Mollymawk","Tūī","New Zealand Falcon","Yellow-eyed penguin"
"432","Kākāpō","Rockhopper Penguin","Harrier","Kākā","New Zealand Falcon"
"433","South Island Kōkako","Tūī","Rockhopper Penguin","Yellow-eyed penguin","Blue Duck"
"434","Fairy Tern","Southern Brown Kiwi","Yellow-eyed penguin","Kākāpō","Gibson's Albatross"
"435","Kea","Blue Duck","Black-billed Gull","Orange-fronted Parakeet","Fairy Tern"
"436","Yellow-eyed penguin","Tūī","Fantail","Blue Duck","New Zealand Falcon"
"437","Kākāpō","Kākā","Little Spotted Kiwi","Mōhua","Orange-fronted Parakeet"
"438","Whenua Hou Diving Petrel","Yellow-eyed penguin","Gibson's Albatross","Fiordland Crested Penguin","Antipodean Albatross"
"439","Silvereye","Kōkako","Rock Wren","Rifleman","Tomtit"
"440","Yellow-eyed penguin","Rockhopper Penguin",NA,NA,NA
"441","Kākāpō","Kingfisher","Little Penguin","Tūī","Mōhua"
"442","Little Penguin","Kākāpō","Bittern","Barn Owl","Great Spotted Kiwi"
"443","Kākāpō","Kea","Rifleman","Grey Warbler","Takahē"
"444","Black-billed Gull","Little Penguin","Pūkeko","Tūī","Southern Royal Albatross"
"445","Kākā","Kākāpō","Great Spotted Kiwi","Black Robin","Black Stilt"
"446","Yellow-eyed penguin",NA,NA,NA,NA
"447","Yellow-eyed penguin",NA,NA,NA,NA
"448","Kōkako","Tūī","Takahē","Kererū","Kākā"
"449","Takahē","Banded Dotterel","Blue Duck","Kea","Hutton's Shearwater"
"450","Yellow-eyed penguin",NA,NA,NA,NA
"451","Fiordland Crested Penguin","Yellow-eyed penguin",NA,NA,NA
"452","Kea","Kākā","Kākāpō","Little Penguin","Little Spotted Kiwi"
"453","Black Robin","New Zealand Robin","Stitchbird","Tomtit","Fantail"
"454","Yellow-eyed penguin","Morepork","Kākāpō","Barn Owl","Antipodean Albatross"
"455","Stitchbird","Black Robin","Takahē","Morepork","Kingfisher"
"456","Orange-fronted Parakeet","Fiordland Crested Penguin","Blue Duck","Yellow-eyed penguin","Little Spotted Kiwi"
"457","Kākā","Little Penguin","New Zealand Falcon","Morepork","Kererū"
"458","Stitchbird","Mōhua","Tomtit","Bittern","Blue Duck"
"459","Kōkako","Bittern","Banded Dotterel","Whitehead","Yellow-eyed penguin"
"460","Harrier","New Zealand Robin","Tomtit","Saddleback","Northern Royal Albatross"
"461","New Zealand Falcon","Morepork","Little Penguin","Bellbird","Salvin's Mollymawk"
"462","Hutton's Shearwater","Yellow-eyed penguin","Kererū","Banded Dotterel","Antipodean Albatross"
"463","Yellow-eyed penguin",NA,NA,NA,NA
"464","Wrybill","Grey Duck","Shore Plover","Blue Duck","Bittern"
"465","Yellow-eyed penguin",NA,NA,NA,NA
"466","Kākāpō","Takahē","Blue Duck","Mōhua","Australasian Crested Grebe"
"467","Black Robin","Banded Dotterel","Tomtit","Kingfisher","New Zealand Robin"
"468","Kea","New Zealand Falcon","Tūī","Kākā","Orange-fronted Parakeet"
"469","Pūkeko","Fantail","Tūī","Morepork","Bellbird"
"470","Yellow-eyed penguin",NA,NA,NA,NA
"471","Australasian Crested Grebe","Banded Dotterel","Barn Owl","Yellow-eyed penguin","New Zealand Falcon"
"472","Yellow-eyed penguin","Little Spotted Kiwi","Kākā","Antipodean Albatross","Saddleback"
"473","Kākā","New Zealand Falcon","Southern Brown Kiwi","Stitchbird","Kea"
"474","Yellow-eyed penguin",NA,NA,NA,NA
"475","Southern Brown Kiwi","Mōhua","South Island Kōkako","Stitchbird","Orange-fronted Parakeet"
"476","Yellow-eyed penguin",NA,NA,NA,NA
"477","Mōhua","Black Stilt","Black Robin","New Zealand Dotterel","Chatham Island Mollymawk"
"478","Yellow-eyed penguin","Antipodean Albatross","Little Penguin",NA,NA
"479","Yellow-eyed penguin","Black Robin","Blue Duck","Orange-fronted Parakeet","Fairy Tern"
"480","Yellow-eyed penguin",NA,NA,NA,NA
"481","Stitchbird","Grey Warbler","Saddleback","Kākāpō","New Zealand Falcon"
"482","Stitchbird","Black Robin","Grey Warbler","Kingfisher","Tūī"
"483","Little Penguin","Fiordland Crested Penguin","Rockhopper Penguin","Antipodean Albatross","Hutton's Shearwater"
"484","Kākāpō","South Island Kōkako","Saddleback","Tomtit","White Heron"
"485","Black Robin","Whitehead","Rock Wren","Mōhua","Rifleman"
"486","Kererū","Antipodean Albatross","Kākāpō","Little Spotted Kiwi","Chatham Island Mollymawk"
"487","Rockhopper Penguin","Kākā","Kākāpō","Gibson's Albatross","Yellow-eyed penguin"
"488","Tūī","North Island Brown Kiwi","Bar-tailed Godwit","South Island Pied Oystercatcher","New Zealand Dotterel"
"489","Gibson's Albatross","Yellow-eyed penguin","Chatham Island Mollymawk","Black Robin","Bellbird"
"490","Kererū","Kākāpō","Little Spotted Kiwi","Chatham Island Oystercatcher","South Island Kōkako"
"491","Kea","Kākā","Kākāpō","Little Spotted Kiwi","Southern Brown Kiwi"
"492","New Zealand Falcon","Antipodean Albatross","Mōhua","Arctic Skua","Bellbird"
"493","Kea","New Zealand Dotterel","Antipodean Albatross","Black Robin","Yellow-eyed penguin"
"494","Banded Dotterel","Orange-fronted Parakeet","Kea","Black Robin","Kākā"
"495","Kākāpō","Rock Wren","Kea","Kererū","Great Spotted Kiwi"
"496","Yellow-eyed penguin","New Zealand Falcon","Takahē","Little Penguin","Blue Duck"
"497","Fantail","Antipodean Albatross","Southern Brown Kiwi","Black Robin","Rock Wren"
"498","Fiordland Crested Penguin","Kākāpō","Kea","Fantail","Tūī"
"499","Stitchbird","Takahē","Tomtit","Saddleback","Rifleman"
"500","Little Penguin","Morepork","Pūkeko","New Zealand Falcon","Fantail"
"501","New Zealand Falcon","Harrier","Morepork","Barn Owl","Fantail"
"502","Yellow-eyed penguin","Antipodean Albatross","Black Robin","Chatham Island Mollymawk","Chatham Island Oystercatcher"
"503","Australasian Gannet","Blue Duck","Yellow-eyed penguin","Rockhopper Penguin","New Zealand Dabchick"
"504","Bittern","Black Robin","Kākā","Little Spotted Kiwi","Southern Brown Kiwi"
"505","New Zealand Dotterel","Southern Brown Kiwi","Great Spotted Kiwi","Banded Dotterel","North Island Brown Kiwi"
"506","Southern Brown Kiwi","Great Spotted Kiwi","Rockhopper Penguin","Kākāpō","Little Spotted Kiwi"
"507","Black Robin","Black Petrel","Black Stilt","New Zealand Falcon","Yellow-eyed penguin"
"508","Fantail","Fiordland Crested Penguin","Southern Brown Kiwi","Stitchbird","Tūī"
"509","Kererū","Orange-fronted Parakeet","Bittern","Banded Dotterel","Antipodean Albatross"
"510","Yellow-eyed penguin","Kākāpō","Little Spotted Kiwi","Fiordland Crested Penguin","Kākā"
"511","Rockhopper Penguin","Yellow-eyed penguin","Stitchbird","Fairy Tern","New Zealand Dotterel"
"512","Whenua Hou Diving Petrel","Black Stilt","Orange-fronted Parakeet","Banded Dotterel","Mōhua"
"513","Yellow-eyed penguin",NA,NA,NA,NA
"514","Yellow-eyed penguin",NA,NA,NA,NA
"515","Yellow-eyed penguin",NA,NA,NA,NA
"516","Banded Dotterel","New Zealand Dotterel","Kingfisher","Black Robin","Fairy Tern"
"517","Rockhopper Penguin","Royal Spoonbill","Little Spotted Kiwi","Chatham Island Oystercatcher","Rifleman"
"518","Banded Dotterel","Whenua Hou Diving Petrel","Bittern","New Zealand Dotterel","Orange-fronted Parakeet"
"519","Yellow-eyed penguin",NA,NA,NA,NA
"520","Yellow-eyed penguin",NA,NA,NA,NA
"521","Yellow-eyed penguin",NA,NA,NA,NA
"522","Yellow-eyed penguin","Kākā","Fantail","Black Robin",NA
"523","Yellow-eyed penguin",NA,NA,NA,NA
"524","Yellow-eyed penguin","Banded Dotterel","Orange-fronted Parakeet","New Zealand Dotterel","South Island Kōkako"
"525","Yellow-eyed penguin",NA,NA,NA,NA
"526","Black-billed Gull","Banded Dotterel","Morepork","Bar-tailed Godwit","Tūī"
"527","Yellow-eyed penguin",NA,NA,NA,NA
"528","Kākāpō","New Zealand Robin","New Zealand Dabchick","Southern Brown Kiwi","Rockhopper Penguin"
"529","Yellow-eyed penguin",NA,NA,NA,NA
"530","Yellow-eyed penguin","Little Penguin","Rockhopper Penguin","Tūī","Southern Royal Albatross"
"531","Yellow-eyed penguin",NA,NA,NA,NA
"532","Kākāpō","Fantail","Yellow-eyed penguin","New Zealand Dotterel","Black Robin"
"533","Fernbird","Little Penguin","Rock Wren","Wrybill","Banded Dotterel"
"534","Southern Brown Kiwi","Blue Duck","Campbell Black-Browed Albatross","Variable Oystercatcher","Westland Petrel"
"535","Bittern","Royal Spoonbill",NA,NA,NA
"536","Kererū","Australasian Crested Grebe","Kākā","Bellbird","Antipodean Albatross"
"537","Barn Owl","Harrier","Bittern",NA,NA
"538","Yellow-eyed penguin","Fernbird","Fairy Tern","Wrybill","Black Petrel"
"539","Tūī","Fantail","Kākā","New Zealand Dotterel","Orange-fronted Parakeet"
"540","Yellow-eyed penguin","Rifleman","Fernbird","The Otago Shag","Orange-fronted Parakeet"
"541","Kākāpō",NA,NA,NA,NA
"542","Yellow-eyed penguin","Kea","New Zealand Falcon","The Otago Shag","Fernbird"
"543","South Island Kōkako","Kākāpō","Kākā","Yellow-eyed penguin","Little Spotted Kiwi"
"544","Little Spotted Kiwi","Black Robin","Blue Duck","Kākāpō","Fiordland Crested Penguin"
"545","Kākāpō","Rockhopper Penguin","Little Penguin","Scaup","Kākā"
"546","Black Robin","Rockhopper Penguin","Yellow-eyed penguin","Gibson's Albatross","Chatham Island Oystercatcher"
"547","Blue Duck","Southern Brown Kiwi","Variable Oystercatcher","Campbell Black-Browed Albatross","Westland Petrel"
"548","Black Robin","Banded Dotterel","Bittern","Kea","Kākā"
"549","Black Robin","Rifleman","Kākāpō","Shore Plover","Stitchbird"
"550","Yellow-eyed penguin",NA,NA,NA,NA
"551","Kākāpō","Little Spotted Kiwi","Yellow-eyed penguin","South Island Kōkako","Shore Plover"
"552","Kākāpō","Orange-fronted Parakeet","Kea","Australasian Crested Grebe","Stitchbird"
"553","South Island Kōkako","Kōkako","Australasian Crested Grebe","Blue Duck","Bittern"
"554","Banded Dotterel","Black Robin","Kākāpō","Mōhua","Rifleman"
"555","Blue Duck","Fiordland Crested Penguin","Rock Wren","Mōhua","Little Spotted Kiwi"
"556","Yellow-eyed penguin","Black Robin","Blue Duck","Little Penguin","Fiordland Crested Penguin"
"557","Fiordland Crested Penguin","Kingfisher","Kākā","Rockhopper Penguin","Morepork"
"558","Black Robin","Kākāpō","New Zealand Falcon","Mōhua","Blue Duck"
"559","Rifleman","Orange-fronted Parakeet","Mōhua","Wrybill","Kākā"
"560","Takahē",NA,NA,NA,NA
"561","Kākāpō","Mōhua","New Zealand Dotterel","Yellow-eyed penguin","Whenua Hou Diving Petrel"
