"","id","day","airline","destination","dest_region","dest_size","boarding_area","dept_time","wait_min","cleanliness","safety","satisfaction"
"1834",3265,"Tuesday","UNITED","SAN DIEGO","West US","Medium","Gates 70-90","2018-12-31",82,"Clean","Somewhat safe","Somewhat satsified"
"1835",1381,"Tuesday","UNITED INTL","SHANGHAI","Asia","Hub","Gates 91-102","2018-12-31",175,"Somewhat clean","Somewhat safe","Neutral"
"1836",991,"Friday","LUFTHANSA","MUNICH","Europe","Hub","Gates 91-102","2018-12-31",175,"Clean","Very safe","Somewhat satsified"
"1837",484,"Sunday","ALASKA","PORTLAND","West US","Medium","Gates 50-59","2018-12-31",178,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1838",2110,"Friday","JETBLUE","LONG BEACH","West US","Small","Gates 1-12","2018-12-31",109,"Clean","Somewhat safe","Somewhat satsified"
"1839",2369,"Tuesday","JETBLUE","FT. LAUDERDALE","East US","Large","Gates 1-12","2018-12-31",136,"Clean","Very safe","Somewhat satsified"
"1840",2393,"Wednesday","UNITED INTL","SYDNEY","Australia/New Zealand","Hub","Gates 91-102","2018-12-31",335,"Clean","Somewhat safe","Somewhat satsified"
"1841",395,"Friday","ALASKA","LOS ANGELES","West US","Hub","Gates 50-59","2018-12-31",205,"Somewhat clean","Very safe","Somewhat satsified"
"1842",1456,"Tuesday","ALASKA","NEW YORK-JFK","East US","Hub","Gates 50-59","2018-12-31",70.0000000000001,"Clean","Very safe","Very satisfied"
"1843",1910,"Saturday","AIR FRANCE/KLM","PARIS-DE GAULLE","Europe","Hub","Gates 1-12","2018-12-31",140,"Somewhat clean","Neutral","Very satisfied"
"1844",1625,"Thursday","KOREAN AIR","SEOUL","Asia","Hub","Gates 1-12","2018-12-31",445,"Clean","Very safe","Very satisfied"
"1845",1494,"Wednesday","HAWAIIAN AIR","HONOLULU","West US","Medium","Gates 1-12","2018-12-31",90,"Somewhat clean","Very safe","Somewhat satsified"
"1846",3226,"Thursday","ALASKA","PORTLAND","West US","Medium","Gates 50-59","2018-12-31",190,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1847",1938,"Tuesday","UNITED","BOSTON","East US","Large","Gates 70-90","2018-12-31",160,"Clean","Very safe","Very satisfied"
"1848",1303,"Tuesday","UNITED INTL","LONDON HEATHROW","Europe","Hub","Gates 91-102","2018-12-31",140,"Clean","Very safe","Neutral"
"1849",3191,"Thursday","DELTA","LOS ANGELES","West US","Hub","Gates 40-48","2018-12-31",NA,"Somewhat clean","Very safe","Somewhat satsified"
"1850",1013,"Friday","AIR CANADA","VANCOUVER","Canada/Mexico","Medium","Gates 91-102","2018-12-31",185,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1851",1663,"Saturday","EMIRATES","DUBAI","Middle East","Hub","Gates 1-12","2018-12-31",225,NA,"Very safe","Very satisfied"
"1852",1136,"Tuesday","SOUTHWEST","LOS ANGELES","West US","Hub","Gates 20-39","2018-12-31",70.0000000000001,"Average","Somewhat safe","Somewhat satsified"
"1853",1713,"Sunday","AIR FRANCE/KLM","PARIS-DE GAULLE","Europe","Hub","Gates 1-12","2018-12-31",135,"Average","Very safe","Somewhat satsified"
"1854",1185,"Thursday","DELTA","NEW YORK-JFK","East US","Hub","Gates 40-48","2018-12-31",120,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1855",1402,"Tuesday","UNITED INTL","PARIS-DE GAULLE","Europe","Hub","Gates 91-102","2018-12-31",135,"Somewhat clean","Somewhat safe",NA
"1856",1649,"Saturday","VIRGIN ATLANTIC","LONDON HEATHROW","Europe","Hub","Gates 1-12","2018-12-31",170,"Somewhat clean","Very safe","Somewhat satsified"
"1857",1956,"Tuesday","UNITED","BOSTON","East US","Large","Gates 70-90","2018-12-31",115,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1858",1988,"Friday","AIR FRANCE/KLM","AMSTERDAM","Europe","Hub","Gates 1-12","2018-12-31",205,"Somewhat clean","Very safe","Somewhat satsified"
"1859",2220,"Thursday","SOUTHWEST","PHOENIX","West US","Hub","Gates 20-39","2018-12-31",95,"Somewhat clean","Very safe","Very satisfied"
"1860",2312,"Thursday","AMERICAN","CHICAGO-O'HARE","Midwest US","Hub","Gates 50-59","2018-12-31",165,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1861",2614,"Saturday","INTERJET","GUADALAJARA","Canada/Mexico","Medium","Gates 1-12","2018-12-31",165,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1862",2798,"Thursday","DELTA","SALT LAKE CITY","West US","Medium","Gates 40-48","2018-12-31",110,"Somewhat clean","Very safe","Somewhat satsified"
"1863",2525,"Saturday","UNITED","NEWARK","East US","Hub","Gates 70-90","2018-12-31",150,"Clean","Neutral","Very satisfied"
"1864",1496,"Wednesday","HAWAIIAN AIR","HONOLULU","West US","Medium","Gates 1-12","2018-12-31",135,"Clean","Somewhat safe","Very satisfied"
"1865",1640,"Saturday","VIRGIN ATLANTIC","LONDON HEATHROW","Europe","Hub","Gates 1-12","2018-12-31",170,"Clean","Very safe","Very satisfied"
"1866",2724,"Friday","UNITED","KAHULUI","West US","Small","Gates 60-69","2018-12-31",107,"Clean","Very safe","Somewhat satsified"
"1867",3131,"Sunday","ALASKA","NEWARK","East US","Hub","Gates 50-59","2018-12-31",84.9999999999999,"Clean","Very safe","Very satisfied"
"1868",1285,"Thursday","CHINA SOUTHERN","WUHAN","Asia","Medium","Gates 1-12","2018-12-31",195,"Clean","Very safe","Very satisfied"
