"branch","component","sex","weight_kg","waist_circum_m","stature_m"
"Combat Service Support","Army National Guard","Female",50.8,0.705,1.58
"Combat Service Support","Army National Guard","Female",66.5,0.901,1.61
"Combat Service Support","Army National Guard","Female",40,0.62,1.556
"Combat Service Support","Army National Guard","Female",73.6,1,1.585
"Combat Service Support","Army National Guard","Female",77,0.952,1.685
"Combat Service Support","Army National Guard","Female",63,0.823,1.592
"Combat Service Support","Army National Guard","Female",76.1,0.919,1.698
"Combat Service Support","Army National Guard","Female",69,0.886,1.648
"Combat Support","Army National Guard","Female",57.3,0.791,1.575
"Combat Service Support","Army National Guard","Female",61.7,0.794,1.602
"Combat Service Support","Army National Guard","Female",66.3,0.822,1.669
"Combat Service Support","Army National Guard","Female",85,0.996,1.637
"Combat Service Support","Army National Guard","Female",60.1,0.798,1.69
"Combat Service Support","Army National Guard","Female",65.5,0.795,1.664
"Combat Support","Army National Guard","Female",71.6,0.94,1.71
"Combat Service Support","Army National Guard","Female",61.1,0.716,1.596
"Combat Support","Army National Guard","Female",100,1.164,1.656
"Combat Support","Army National Guard","Female",79.1,0.87,1.586
"Combat Support","Army National Guard","Female",67.6,0.886,1.653
"Combat Support","Army National Guard","Female",74,0.831,1.661
"Combat Support","Army National Guard","Female",50.1,0.749,1.495
"Combat Support","Army National Guard","Female",58.7,0.811,1.633
"Combat Support","Army National Guard","Female",69.6,0.85,1.652
"Combat Service Support","Army National Guard","Female",59.9,0.779,1.596
"Combat Support","Army National Guard","Female",80.9,1.009,1.715
"Combat Service Support","Army National Guard","Female",78.8,0.939,1.724
"Combat Service Support","Army National Guard","Female",79.7,0.907,1.741
"Combat Service Support","Army National Guard","Female",74.6,0.851,1.707
"Combat Service Support","Army National Guard","Female",74,0.917,1.684
"Combat Service Support","Army National Guard","Female",56.9,0.78,1.586
"Combat Support","Army National Guard","Female",82.9,1.046,1.611
"Combat Service Support","Army National Guard","Female",77,0.939,1.658
"Combat Service Support","Army National Guard","Female",75.1,0.909,1.673
"Combat Support","Army National Guard","Female",88.9,1.076,1.77
"Combat Service Support","Army National Guard","Female",66.1,0.799,1.574
"Combat Service Support","Army National Guard","Female",84.2,1.009,1.715
"Combat Service Support","Army National Guard","Female",55.8,0.865,1.525
"Combat Service Support","Army National Guard","Female",98.3,1.154,1.65
"Combat Service Support","Army National Guard","Female",53.5,0.814,1.537
"Combat Service Support","Army National Guard","Female",58.1,0.801,1.568
"Combat Service Support","Army National Guard","Female",68.4,0.83,1.569
"Combat Service Support","Army National Guard","Female",72.5,0.807,1.711
"Combat Arms","Army National Guard","Female",75.7,1.073,1.639
"Combat Service Support","Army National Guard","Female",73.3,0.946,1.638
"Combat Service Support","Army National Guard","Female",70.4,0.845,1.756
"Combat Service Support","Army National Guard","Female",59,0.748,1.618
"Combat Support","Army National Guard","Female",83.5,1.003,1.745
"Combat Service Support","Army National Guard","Female",63.5,0.814,1.569
"Combat Service Support","Army National Guard","Female",54.6,0.782,1.668
"Combat Arms","Army National Guard","Female",61,0.78,1.619
"Combat Arms","Army National Guard","Female",82,1.016,1.657
"Combat Arms","Army National Guard","Female",68.5,0.847,1.628
"Combat Arms","Army National Guard","Female",57.4,0.803,1.66
"Combat Arms","Army National Guard","Female",61.6,0.733,1.683
"Combat Service Support","Army National Guard","Female",67.8,0.866,1.672
"Combat Service Support","Army National Guard","Female",55.8,0.745,1.623
"Combat Service Support","Army National Guard","Female",58.8,0.705,1.672
"Combat Support","Army National Guard","Female",59.1,0.784,1.619
"Combat Support","Army National Guard","Female",51.1,0.712,1.558
"Combat Support","Army National Guard","Female",59.1,0.742,1.649
"Combat Service Support","Army National Guard","Female",67.1,0.805,1.73
"Combat Arms","Army National Guard","Female",52.2,0.73,1.527
"Combat Support","Army National Guard","Female",56.5,0.761,1.67
"Combat Support","Army National Guard","Female",77.4,1,1.583
"Combat Support","Army National Guard","Female",73,0.885,1.643
"Combat Service Support","Army National Guard","Female",66.9,0.8,1.717
"Combat Service Support","Army National Guard","Female",71.8,0.945,1.623
"Combat Service Support","Army National Guard","Female",59.4,0.81,1.63
